hanzi,level,pinyin,rus_translation
爱,1,ài,любить; любовь; любимый
八,1,bā,восемь; восьмой
爸爸,1,bàba,"папа, тятя"
杯子,1,bēizi,стакан; кружка; бокал; рюмка
北京,1,běijīng,Пекин
本,1,běn,"счётное слово для растений, цветов"
不客气,1,bùkěqi,не церемоньтесь!; не стесняйтесь!
不,1,bù,отрицательная частица не
菜,1,cài,овощи; блюдо; пища; стол
茶,1,chá,чай
吃,1,chī,"есть, кушать"
出租车,1,chūzūchē,такси
打电话,1,dǎ diànhuà,звонить по телефону
大,1,dà,большой; крупный; великий; огромный
的,1,de,суффикс прилагательного; суффикс притяжательности
点,1,diǎn,"капля; немножко, чуточку; точка; запятая"
电脑,1,diànnǎo,компьютер
电视,1,diànshì,телевидение; телевизионный
电影,1,diànyǐng,кино
东西,1,dōngxi,вещь; предмет
都,1,dōu,все; всё
读,1,dú,читать; зачитывать
对不起,1,duìbuqǐ,"виноват!, простите!, извините!"
多,1,duō,много; многочисленный; свыше
多少,1,duōshao,сколько?
儿子,1,érzi,сын
二,1,èr,два; второй
饭馆,1,fànguǎn,ресторан; столовая
飞机,1,fēijī,самолёт
分钟,1,fēnzhōng,минута
高兴,1,gāoxìng,радоваться; радостный
个,1,gè,универсальное сч. сл.; отдельный; индивидуальный
工作,1,gōngzuò,работать; работа
狗,1,gǒu,собака; собачий
汉语,1,hànyǔ,китайский язык
好,1,hǎo,хороший; хорошо; приятный; удобный
喝,1,hē,пить
和,1,hé,мирный; союз и; предлог с
很,1,hěn,очень; весьма
后面,1,hòumiàn,"задняя сторона; зад; позади, сзади; задний"
回,1,huí,возвращаться
会,1,huì,уметь; мочь; владеть; собрание; заседание
火车站,1,huǒchēzhàn,вокзал; железнодорожная станция
几,1,jǐ,сколько?; несколько; немного
家,1,jiā,семья; семейство; дом; домашний
叫,1,jiào,кричать; крик; звать; подзывать; вызывать
今天,1,jīntiān,сегодня; нынешний день
九,1,jiǔ,девять; девятый
开,1,kāi,открывать; управлять; вести; включать
看,1,kàn,смотреть; читать (про себя); навестить
看见,1,kànjiàn,увидеть; видеть
块,1,kuài,сч. сл. для основных денежных единиц; кусок; глыба
来,1,lái,приходить; прибывать; приезжать
老师,1,lǎoshī,учитель; преподаватель
了,1,le,глагольный суффикс завершенности действия
冷,1,lěng,холодный; холодно; холод
里,1,lǐ,внутри; в
零,1,líng,ноль; нолевой
六,1,liù,шесть; шестой
妈妈,1,māma,мама
吗,1,ma,"фразовая частица, выражающая вопрос"
买,1,mǎi,"покупать, приобретать"
猫,1,māo,кошка
没,1,méi,отрицательная частица
没关系,1,méi guānxi,неважно; ничего; пустяки
米饭,1,mǐfàn,варёный рис
明天,1,míngtiān,завтра; завтрашний день
名字,1,míngzi,имя (человека); кличка (животного)
哪,1,nǎ,какой; который
那,1,nà,"тот; то; тогда, в таком случае"
呢,1,ne,"фразовая частица, выражающая вопрос же?"
能,1,néng,способный; способность
你,1,nǐ,ты; вы; твой; ваш
年,1,nián,год; годы
女儿,1,nǚ’er,дочь
朋友,1,péngyou,"друг, товарищ; друзья"
漂亮,1,piàoliang,красивый
苹果,1,píngguǒ,яблоко
七,1,qī,семь; седьмой
钱,1,qián,деньги
前面,1,qiánmian,перед; передний; впереди; перёд; выше; ранее
请,1,qǐng,просить; пожалуйста!; приглашать
去,1,qù,уходить; отправляться; идти
热,1,rè,горячий; увлечение; мода
人,1,rén,человек; люди
认识,1,rènshi,знать; быть знакомым; знакомиться
日,1,rì,"солнце; солнечный; день; число, дата"
三,1,sān,три; третий
商店,1,shāngdiàn,магазин
上,1,shàng,верх; прошлый; на; в
上午,1,shàngwǔ,до полудня
少,1,shǎo,мало; немного; редко
谁,1,"shuí, shéi",кто; кого; чей
什么,1,shénme,"что?, что такое?; какой?; как?"
十,1,shí,десять; десятый
时候,1,shíhou,"время, промежуток; времени; во время"
是,1,shì,есть; быть; являться; да; правда
书,1,shū,книга
水,1,shuǐ,вода; водяной; гидро-
水果,1,shuǐguǒ,фрукты; фруктовый
睡觉,1,shuìjiào,спать
说话,1,shuōhuà,говорить; разговаривать
四,1,sì,четыре; четвёртый
岁,1,suì,годы; лета
他,1,tā,он; его
她,1,tā,она; её
太,1,tài,"слишком, чересчур; чрезвычайно"
天气,1,tiānqì,погода; климат
听,1,tīng,слушать
同学,1,tóngxué,"соученик, однокашник"
喂,1,wèi,кормить; алло!; эй!
我,1,wǒ,я; мой; наш
我们,1,wǒmen,мы; наш
五,1,wǔ,пять; пятый
喜欢,1,xǐhuan,нравиться; любить
下,1,xià,"нижний; низ; послелог под, при; следующий"
下午,1,xiàwǔ,"вторая половина дня, после полудня"
下雨,1,xiàyǔ,идёт дождь; стоит дождливая погода
先生,1,xiānsheng,господин; мистер
现在,1,xiànzài,теперь; сейчас; ныне
想,1,xiǎng,думать; собираться; хотеть
小,1,xiǎo,маленький; мелкий; малый; молодой; младший
小姐,1,xiǎojie,барышня; мисс
些,1,xiē,"немного, несколько"
写,1,xiě,писать; записывать; описывать
谢谢,1,xièxie,"спасибо, благодарю; благодарить"
星期,1,xīngqī,неделя
学生,1,xuésheng,студент; ученик; учащийся
学习,1,xuéxí,"учиться; обучаться; обучение, учёба"
学校,1,xuéxiào,школа; учебное заведение; училище
一,1,yī,один; единица; первый
衣服,1,yīfu,одежда; платье; костюм
医生,1,yīsheng,"врач, доктор"
医院,1,yīyuàn,больница; госпиталь
椅子,1,yǐzi,стул
有,1,yǒu,иметь(ся); иметь в наличии; обладать; есть
月,1,yuè,луна; месяц
在,1,zài,быть в живых; существовать; находиться; в; на
再见,1,zàijiàn,до свидания
怎么,1,zěnme,"как?, каким образом?"
怎么样,1,zěnmeyàng,"как, каким образом; каков"
这,1,zhè,"это, этот"
中国,1,zhōngguó,Китай; китайский
中午,1,zhōngwǔ,полдень
住,1,zhù,"жить, проживать"
桌子,1,zhuōzi,стол
字,1,zì,иероглиф; слово
昨天,1,zuótiān,вчера; вчерашний день
坐,1,zuò,сидеть; садиться; ехать на [в]
做,1,zuò,делать; изготавливать; быть [работать] кем-либо; писать
